FIB_slow1	FIB_slow2	FIB_slow3	FIB_slow4	FIB_m1	FIB_m2	FIB_fast1	FIB_fast2	FIB_fast3	FIB_fast4
ENSMUSG00000020737	4109	3343	4839	5119	3001	3700	2569	2728	3484	2646
ENSMUSG00000020738	7440.51633800877	6560.36696971308	5935.16275805488	6365.09161421838	7335.01572428212	8172.6949203439	6605.38067331002	7436.53163037643	5931.01174255771	5249.33846360766
ENSMUSG00000020739	3007	2491	2600	2826	2433	2796	2445	2308	2637	2262
ENSMUSG00000020740	958.007284830235	1086.24220530288	804.559196087063	865.623233232701	1233.25569479214	1440.26140337233	1112.24522949433	1177.76538328661	787.795362432078	768.554457288969
ENSMUSG00000020741	1121	1017	1344	1417	1366	1621	1756	1980	2302	1958
ENSMUSG00000020743	656.956045763603	645.421106131005	715.482044401088	778	601.457140008723	713.46397151553	476	403	340	387.63073002841
ENSMUSG00000020744	334.09843932467	245.975238581945	331	415.874035342021	344.347860812777	355.94240279286	293.204136857279	244.22837721086	279.529507459383	314.285865951623
ENSMUSG00000020745	8162.70967196859	7785.67387277137	5580.83518643969	5635.6959362876	7589.5702920957	8800.77337574781	7293.22909967626	8421.95877980792	4818.71738108115	4920.31140015721
ENSMUSG00000020747	1180.79502293882	1032.38539920368	935.35794424461	1221.772673172	1240.88718602775	1284.94497286687	1152.53880292054	1170.83862010283	939.451359283386	1397.78914920417
ENSMUSG00000020752	557.525100806788	491.957332050434	398.796026018151	484.550711660493	516.844101039631	595.106564684195	447.412084051931	434.874945685802	352.90419992495	431.034711328691
ENSMUSG00000020755	1113.47489919321	944.042667949566	1109.20397398185	1237.44928833951	1088.15589896037	1318.8934353158	1079.58791594807	1055.1250543142	1222.09580007505	1093.96528867131
ENSMUSG00000020758	91	85.0779688604192	56	77	72	61.0939584228556	68	54	28.5006632505172	62.0918639095598
ENSMUSG00000020766	1486	1303	1406	1665	1539	2193	1643	1756	1996	1717
ENSMUSG00000020770	1432	1316	1039	1255	1444	1558	1304	1247	985	1158
ENSMUSG00000020773	1897	1551	1749	1763	1555	2081	1425	1487	1596	1346
ENSMUSG00000020774	23.2622694871732	24	11.9218547409127	8	24.6012916284116	27	15	19	11.6231875806117	6
ENSMUSG00000020775	626	506	717	780	693	800	708	734	906	806
ENSMUSG00000020776	1586	1385	1117	1502	1543	1785.16202557534	1386	1502	1333	1582
ENSMUSG00000020777	1773.16146950412	1529	1365	1671.73744415277	1885.37340018687	2171.84079310036	1880.93610264844	2068.49641362094	1476.05931164137	1534.88868470805
ENSMUSG00000020778	386.020138818991	252.752588507811	331.062179484061	402.787446228307	401.315460831181	486.439359915282	359.644003903625	356.613557990567	350.888037070887	300.517896611719
ENSMUSG00000020780	2359.11451367667	1982	2259	2445	2555	3096	2511.1738252723	2571	2389.24648136117	2409
ENSMUSG00000020781	489	452	459	552	481	545	456	405	450	464
ENSMUSG00000020782	184	138	177	193	144	179	169	177	220	166
ENSMUSG00000020783	1064.68849447043	1094.16343335764	915.226436777612	921.061676511981	1118.49796754854	1233.06657214416	1102.23457314888	1146.65514714847	961.516349422391	871.896234343852
ENSMUSG00000020785	201	147	151	234	162	223	264	250	309	321
ENSMUSG00000020787	2	2	35	12	3	1	1	4	0	0
ENSMUSG00000020788	43	44	58	53.0053401560845	29	38	22	16.0011998833998	0	2
ENSMUSG00000020790	2597.05941181454	2253.13014409438	1828.40504968368	2188.08846101808	2786.11437601417	3033.72540209531	2856.76502624373	3015.80200595562	2137.73998665185	2432.8780465508
ENSMUSG00000020792	1193	1014	1103	1482	1330	1539	1348	1301	1314	1404
ENSMUSG00000020793	4	1	11	11	5	10	6	5	5	5
ENSMUSG00000020794	1629.58880901567	1498.38162913395	1050.08428336267	1043.71049133341	1389.85523281037	1674.33722828081	1442.15760679802	1615.96865098986	1013.35019188072	1035.81674678471
ENSMUSG00000020798	13.3344985990216	11.0359618379731	10.3242480375121	5.30024083063472	10.3930254103076	6.12272189053704	2.05218042271716	14.1132578894966	12.2808987464567	9.11367943703097
ENSMUSG00000020799	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020801	213.592593194947	181.239305125395	219.590633617129	229.879399680014	245.143989667383	241.379596953163	229.114177024441	231.529558431084	218.595435800074	196.518148991951
ENSMUSG00000020802	1068	1025	981	1093	1088	1408	1150	1217	1139	1266
ENSMUSG00000020803	1400	1335.99028185567	1699	1692	1538	1776	1790	1918	2043	1887
ENSMUSG00000020804	2	0	2	0	2	2	2	0	1	1
ENSMUSG00000020805	0	0	0	0.985992013335516	0	0	1	0.999999940103972	0	1
ENSMUSG00000020806	50	53	122	163	74	133	143	160	131	104
ENSMUSG00000020807	490	420	377	497	573	551	622	609	453	604
ENSMUSG00000020808	855	579	1793.99507408619	1798	425	413	534	461	1128	949.951943016995
ENSMUSG00000020810	57	43	43	61	56	88	51.9220659289051	30	28	32
ENSMUSG00000020811	0	0	0	0	0	2	0	1.27355789655189	0	0
ENSMUSG00000020812	382	381.616871225955	340.424971642822	353.873556026659	421.69063880881	538.159550718521	533.247284007617	535	434.541351927517	352.741936432468
ENSMUSG00000020814	1925.72867445316	1777.82917145493	1878.95467266735	1950.28726750997	2155.357863428	2545.63571162752	1826.16050050865	1845.89041413702	1410	1257.79197716804
ENSMUSG00000020817	1774	1723	1401	1366	1887	2245	2000.94557303185	2365	1554	1400.9368557124
ENSMUSG00000020818	1179.29286523934	1142.27955569173	795.188952925305	1117.88776338746	1138.70436179681	1266.52709619916	1018.33244394948	960.395928424145	926.94759997505	912.505192650327
ENSMUSG00000020821	8720.48329671325	7613.22396385395	7973.66174915541	7885.0108255512	7743.75700495277	9770.90549868883	6441.3964465721	6745.18896316306	6375.96563965484	5722.06205282123
ENSMUSG00000020823	3121.84779281222	2821.94601862913	2528.36023455213	3006.79467391558	2829.21829957008	3364.32406152778	2295.94701736115	2473.07557481167	2110.83093302554	2092.89479623361
ENSMUSG00000020826	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020827	1278.08060240808	1081.87190210846	1108.98046550935	1305.87107019383	1182.61632927154	1227.71323966406	995.420055095699	1108.91050868334	1217	1324
ENSMUSG00000020828	1324.69340680474	1127.88080970278	919.86365871453	1093.87434218258	1101.50612450781	1291.04907225954	928.648282093672	873.942937895136	793.856014159863	825.129268510351
ENSMUSG00000020829	93	74	114	153	139	156	158	148	231	228
ENSMUSG00000020830	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020831	688.188213365377	498.098179021725	646.052766098685	926.679470054819	562.292776439767	670.743236975505	558.963581853287	564.04521437193	631.746148917381	668.478945582623
ENSMUSG00000020832	497.779628505591	416.77828662356	366.32611782744	466	496.743482878936	567.722142727991	473.699627952145	500.237951218304	436.362405544579	484.48310562649
ENSMUSG00000020834	238.681123602463	222.596789882782	216.850396800511	316.378119562914	182.28842505815	251.678850949107	182.454085195659	176.241141716618	212.937892610752	246.630159237797
ENSMUSG00000020836	232.277569695087	219.08184337237	252.211652307587	279.335130919896	202.111637239328	223.437393246244	166.219724423377	154.071344566777	206.167089304458	273.283755375126
ENSMUSG00000020838	0	0	4	2	0	0	0	0	0	0
ENSMUSG00000020839	0	0	0	4	2	0	3	4	10	9
ENSMUSG00000020840	1385.1788859442	1224.22576695163	1127.75668939961	1216.80832715385	1392.21626019099	1591.75749632712	1397.01299014003	1433.25918166819	1409.5925830344	1391.73204549573
ENSMUSG00000020841	6316	5572	4146	4359	5565	5959	4761	6046	3553	3754
ENSMUSG00000020843	576.540615593156	539.269583568817	696.460712642648	792.097172786755	575.763329215345	623.007340041398	658.058982578925	690.495210924072	961.050367753961	857.423973391778
ENSMUSG00000020844	2332	2126	2965	3537	2408	3043	2377	2603	2920	2887
ENSMUSG00000020846	1747.31847463338	1745.89280780694	2188.20722070622	1828.78458721141	1879.8551873196	2293.19423706872	2132.09150909858	2536.81819360034	2236.53074199428	1878.08899133513
ENSMUSG00000020847	11	12	8	22	8	7	8	3	10	16
ENSMUSG00000020848	1	2	7	5	2	4	8	1	1	1
ENSMUSG00000020849	9674	8746	9758	9659	9953	12226	11860	12933	13680	11523
ENSMUSG00000020850	6238	5628	5977	6792	7071	7623	8412	9091	7851	9498
ENSMUSG00000020857	6999.57633664982	6400.32063299966	8474.40471031387	9988.65099858016	7459.95963914945	9343.97247826207	8219.85599896586	8511.76448423925	12366.652163667	10127.7353754002
ENSMUSG00000020859	6726.24084639301	6268.70006940224	4690.54366581653	5069.23849975495	6332.06559380332	6893.02099042433	5647.09534758657	6452.08797421128	3398	3851.19546793853
ENSMUSG00000020863	3032.55795198698	2816.37208205992	2147.95750802792	2235.7031635909	3484.49459032138	3497.28377615001	3808.95774920535	4283.86458664154	2542.141440791	2518.85826410986
ENSMUSG00000020864	2477.56210511601	2358.56996765818	2332.01524485659	2242.30096374406	2331.76142298174	2817.90075940373	2259.60501064663	2439.69337809997	2223.29257195482	1851.1678149442
ENSMUSG00000020865	0	0	1	2	0	1	3	4	9	6
ENSMUSG00000020866	664	612	1009	1491.99458652946	481	534	473	548	192	247
ENSMUSG00000020867	5	1	4	14	7	3	1	2	0	0
ENSMUSG00000020868	594	468	520	573	613	713	597	563	445	617
ENSMUSG00000020869	4645.34915750314	4170.40483098505	6085.86590349005	6228.54071888645	4996.27574886234	6745.99495604982	6133.40693427843	7106.777392585	9483.79656111445	7588.35905049233
ENSMUSG00000020870	13.275117638721	16.9139877385823	13.2158028542897	21.5533292632182	9.25671198599866	20.7407493756363	16.5143193519296	21.978035286405	44.0560318211231	9.21091884024459
ENSMUSG00000020871	8	5	1	3	2	2	5	7	1	6
ENSMUSG00000020872	0	1	2	1	0	1	0	0	0	1
ENSMUSG00000020873	1506	1371	496.062066143336	692.236555807306	1457	1887	1492	1560	673.188184968752	528.024634453566
ENSMUSG00000020875	2486.41822995256	2320.37640799778	1699.16658079562	2036.40033380018	2126.08352832059	2412.73576197412	1669.10448100323	1823.0248892021	1225.14730087027	1516.39568313316
ENSMUSG00000020876	673.749883380704	548.331248494675	621.111591800462	725.382187698281	513.572642466751	662.609203937161	508.418192592679	555.038882014712	463.14889764402	381.949398975563
ENSMUSG00000020877	223	213	251	415	314	364	302	294	397	413
ENSMUSG00000020878	15	8	5	11	5	8	8	12	22	12
ENSMUSG00000020882	195	159	169	227	172	185	217	223	179	210
ENSMUSG00000020883	1517.36372637208	1530.08983234296	904.301169459688	1238.41495069386	1586.22106228599	1642.05405379879	1406.094019538	1370.39067304896	759.655461538359	973.220578990335
ENSMUSG00000020884	3	1	16	2	1	3	4	4	3	11
ENSMUSG00000020886	1275.37394290653	1126.11876620127	1028.95259932778	1240.04544686376	1394.2500119679	1408.30268694947	1362	1436.02934010731	1104.51980180399	1401.66747529916
ENSMUSG00000020887	0	0	1	0	1	1	1	5	1	0
ENSMUSG00000020888	1435.54108289705	1197.78309189276	972.65613039299	1185.13577022092	1324.73264740486	1411.28243186148	1323.19021686775	1261.68576484237	1185.3147001195	1209.4958014239
ENSMUSG00000020889	1274.0486589898	1209.62101055763	1124.64948307351	1379.07729464432	1262.06720308834	1504.55630601396	1229.04171854436	1267.12649890643	584.019276431031	657.355684728009
ENSMUSG00000020890	0	3	0	2	3	4	1	0	4	0
ENSMUSG00000020891	26.2373852672352	28.5435472965679	8.8596793664024	19.0568829388919	20.2105121809961	27.7585639129223	15.3632817498572	13.4616072375078	10.9789943521761	13.3056352437911
ENSMUSG00000020892	12.061063251064	13.0699009501764	4	5.05686955258434	11.0697791621423	6.07679895165857	10.0906193165527	6.09671401433849	7.03112994403705	5.03789435008559
ENSMUSG00000020893	1067	847	606	839	1129	1140	1114	1066	676	924
ENSMUSG00000020894	1598	1320	1148	1266	1824	1811	1917	1722	1075	1534
ENSMUSG00000020895	288	272	365	365	297	393	306	321	322	366
ENSMUSG00000020897	1443	1018	2326	2308	669	566	399	387	1551	1210
ENSMUSG00000020898	1747.46603563002	1324.73564217116	1347.4632941683	1649.43100657551	1389.68497040229	1506.73670610449	1313.91906015617	1293.39047857352	1035	1375.7549322273
ENSMUSG00000020899	1027.99364186949	909.845972869148	883.043422658558	922.812630960032	904.198761668217	1126.13032318852	963.810321051524	1100.28571968757	1030.67896950233	910.577765440945
ENSMUSG00000020900	11247.1199166923	10040.4075614992	8876.36195640736	10183.3853133546	10531.5900568912	12167.6061226614	9100.95925728683	10195.9312982319	7485.76283568968	9326.24296499992
ENSMUSG00000020901	32.0729212686722	34.8651871265214	97.4133281885011	84.6983547008468	69.7640608653803	97.19153218448	125.038249185799	186.281093597578	146.818241301002	75.8116249416615
ENSMUSG00000020902	4016	3255	2262	2883	3665	4036	2177	1988	763	1213
ENSMUSG00000020903	425.369928181866	372.57017247266	447.648550837933	450.09634956328	468.443093355628	543.687984150928	402.436563205863	477.120093619407	343.091819531934	361.413141098242
ENSMUSG00000020904	1	4	2	0	1	0	0	1	0	0
ENSMUSG00000020905	68.5785381154961	53.7993479173123	51	14	14	32	18.0547357634729	12	0	3
ENSMUSG00000020907	0	0	0	0	0	3	0	0	0	0
ENSMUSG00000020908	0	0	0	0	1	0	0	2	0	0
ENSMUSG00000020910	281	261	192	277	273	285	242	276	157	223
ENSMUSG00000020911	24	37	48	29	34	39	43	36	44	25
ENSMUSG00000020912	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000020913	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020914	10396.6605302338	8169.48151819821	12338.3603025533	12329.833202183	4812.91584386995	4104.31433078819	3535.05256764116	3558.86759955383	6893.6076380485	6492.93364031338
ENSMUSG00000020916	0	0	0	0	0	0	0	0	3	0
ENSMUSG00000020917	5270	4771	5651	6585	5786	7107	5912	7126	8527	9431
ENSMUSG00000020918	972	868	1120	1256	1121	1399	1396	1507	1685	1580
ENSMUSG00000020919	1591.0489689249	1492.30252198837	1433.17177967991	1419.80247964559	1683.10655949657	2035.97599507275	1552.82774089538	1565.97150361758	1287.61202393979	1231.07244124002
ENSMUSG00000020921	275	249	293	298	286	403	327	342	371	365
ENSMUSG00000020922	821.877820666026	742.657335891884	773.168944925732	683	800.868716557586	1058.18996093242	840.741645315142	962.988586965398	918	793
ENSMUSG00000020923	4351.27115739018	3746.13097153904	3753.12894106373	3645.78203095215	4547.21388366233	5001.58235406499	4767.96289549723	4823.29921127978	4550.36419432073	4479.99654763366
ENSMUSG00000020925	676	550	618	562	598	722	622	665	539	483
ENSMUSG00000020926	68.0994652474727	62.0994574441316	42.8963089503224	58.1852030712528	66.2916973415522	66.1006897089341	45.2039700450617	43.0738969953924	30.0450654597991	23.0641460082755
ENSMUSG00000020928	0	2	0	0	0	2	0	0	0	0
ENSMUSG00000020929	2670.99401359115	2240.58945024433	2688.30849820175	2956.57095908359	2584.8517731332	3182.85594852831	2846.77648317898	3062.20653303184	3313.03997266766	3036.24728859429
ENSMUSG00000020930	12	15	8	13	13	3	11	13	14	8
ENSMUSG00000020932	4	3	13	1	1	0	1	0	1	0
ENSMUSG00000020935	1428	1110	1003.81253419401	1307.8568926834	1225	1495	1224	1273	1208	1294
ENSMUSG00000020936	3922	3390	3631.18746580599	3983.1431073166	3593	4336	3476	3642	3928	3790
ENSMUSG00000020937	991	893	938	852	790	1047	745	733	547	566
ENSMUSG00000020940	6	2	0	1	3	0	1	0	5	0
ENSMUSG00000020941	327	254.206103030736	344	378	281	370.052099124683	363.08279337368	483.034290412757	349.045286608281	380.039004987037
ENSMUSG00000020945	0	0	0	0.764520104446898	0	0	0	0.13708359351752	0	0
ENSMUSG00000020946	2477	2249.95876469367	1898	2273	2754	3312.88687907693	2855.94748219052	3014	2517	2443
ENSMUSG00000020948	401	391	64.6286755307981	47.7877514651448	365	372	296	307	52.9188685652401	41.028736689917
ENSMUSG00000020949	1423.06909772927	1355.06420057072	1248.16479443178	1293.12227999098	1340.25497489328	1432.67183198525	1478.41740693658	1449.74454319731	1577.21780406772	1330.83898231921
ENSMUSG00000020950	0	1.00349969583568	0	0	3.01045164983583	0	2.02072372794544	1.00308934137959	0	2.00751024360497
ENSMUSG00000020952	1751	1594	1532.02493674868	1559.14400833663	1751	1949	1620	1692	1602.67520779143	1658.38060201121
ENSMUSG00000020953	653	668	1057.87656400222	1071.1099730292	611	761	506	654	297	193
ENSMUSG00000020954	4602	4293	2632	2666	4371	4967	3910	4562	2499	2352.92602975028
ENSMUSG00000020955	134	121	119.718756744952	143.720060648154	133	130	134	157	113.12108608187	135.467509171248
ENSMUSG00000020956	199	192	147	195	175	200	165	184	136	139
ENSMUSG00000020961	103	83	126.613377433263	174.783536014545	88	119	73	96	173.832891772661	194.846824731979
ENSMUSG00000020962	1229.98932362491	1029.86983213535	737.220259923471	751.928916604772	1050.40148578471	1211.47178252776	966.879405927959	1172.95136733125	776	817.400343131552
ENSMUSG00000020963	0	1	0	1	0	1	0	1	0	0
ENSMUSG00000020964	6907	6628	3848	4278	6623	7517	5168	5910	3318	3350
ENSMUSG00000020973	735.070856880031	583.000609152851	335.672236372206	296.103637588579	552.799823481992	611.810855639597	541.671159664313	478.917858574151	318.565810558737	233.863278644276
ENSMUSG00000020974	933	816	593.587788659619	625.393556721546	946	969	775	768	773.138764494825	628.986440553932
ENSMUSG00000020978	2138.60727154225	1916.95146117915	1887.09945410499	1949.53377524937	2114.3984779004	2581.22050734697	2208.28440734561	2225.60508604913	2252.34091677148	2119.63726707082
ENSMUSG00000020982	1534	1482	1443.10380028009	1486.17985051313	1641	1806	1679	1893	1553.96217792547	1553.162396338
ENSMUSG00000020986	3683.99621376041	3348.59203324634	2715.37029280023	3022.49095270341	4147.99383435239	4730	3872.99711232676	4447.9955371912	3340	3440.69716302576
ENSMUSG00000020988	513	478	412.657163313946	445.67422819704	516	558	521	588	516.181567453967	524.682653297532
ENSMUSG00000020990	85	118	74	78	96	98	68	64	37	27
ENSMUSG00000020992	5.1398954017504	2.02692054760393	2	2.01467319909433	8.05138933884697	7.11454695897221	3.04413215727715	7.11268953290847	3.03786891153492	2.01993085843929
ENSMUSG00000020993	1828	1630	833.861361475626	900.646967770106	1613	1753	1325.81457301437	1308	601.24756596098	600.06667825394
ENSMUSG00000020994	4160	3948	2877.47032854405	3241.44170355221	4136	4116	4139	4334	3008.96715497249	3473.29136882568
ENSMUSG00000021000	1903.52541657317	1805.29516671529	1754.23349029014	1907.39128373091	2187.22592268369	2315.68022586143	2219.78474644705	2185.25667264321	1874.88447633049	1856.37334353619
ENSMUSG00000021003	767	694	390.517491254442	525.122245312146	664	832	715	818	700.139161332682	486.984035903289
ENSMUSG00000021007	305	296.038067475298	193.955676609381	276.153984598904	299.092540873206	342	301.009597193332	379	316	268.952929809001
ENSMUSG00000021009	3041	2772	2336.51662265946	2381.81608265453	2668	2999	2104	2453	1746.81863519683	1602.61443194576
ENSMUSG00000021010	23	20	10.9129993598724	24.9312521929825	22	21	22	29	16.6421198830409	18.0298253565769
ENSMUSG00000021012	4903.43680521036	4535.30924189769	3359.26368288172	3493.60544056728	4836.19917062604	5625.01255398834	4789.41756228726	5086.00477767028	3614.41339984807	3770.42818968455
ENSMUSG00000021013	942	857	539.104265134502	783.345597681678	886	966	893	831	849.397722295015	866.926285105795
ENSMUSG00000021018	385	346	297.402414113359	335.876997488535	409.976501229423	516	529	531	563.176407985634	413.95168919143
ENSMUSG00000021022	821.110060649056	851.625994467578	549.419098580233	568.38441235754	786.929844086093	923.593067593426	721.034716913394	824.985349637796	510.737073297737	482.131384336709
ENSMUSG00000021023	296.617369379074	283.212711503139	267.033614227581	339.335546450499	302.802115048019	396.759192508172	350.038537813471	352.40798374755	290.765342472346	325.95719525935
ENSMUSG00000021024	2917	2750	3480	3762	3172.11375712028	3683	3795.07286869858	4168	4773	4180
ENSMUSG00000021025	663.165741894204	525.554902996123	546.236590746504	621.471205245154	716	814.219437931314	812.312035658772	702	583.462063907856	504.940422840876
ENSMUSG00000021027	2280.38316665159	2255.86380012088	139.048433921567	355.136967696675	2297.76639139611	2324.83617371243	2044.74940736735	2208.96551494148	303.125321114707	449.285641348089
ENSMUSG00000021028	524	470	364.241045784051	397.22436465687	518	565	493	455	271.729541687591	343.507950646348
ENSMUSG00000021032	0	4	6	5	3	5	3	2	1	3
ENSMUSG00000021033	1044.02804206831	1031.00840547871	919.41988490111	1159.27695205316	1040.68751017952	1122.18514775297	979.417182600543	927.534663197717	1049.7082951735	1293.1268766663
ENSMUSG00000021036	2175	2229.03141844945	2112	2053	2244	2705.01236883826	2202.57888721962	2344	1856	1818.01988870374
ENSMUSG00000021037	2542	2201	2885.88376938063	2884.49698231774	2706	3067	2986	3088	4264.25056329307	3546.25424675823
ENSMUSG00000021038	1166	909	824.760816237053	1039.64173545188	1074	1281	1023	1028	902.077191516699	1014.93969818116
ENSMUSG00000021039	2417.41952609014	2058.29841164486	2215.99703214157	2226.96928568175	2360.28647252404	2676.49379843902	2414.20637527094	2408.08857318039	2245.1293533711	2231.90719323164
ENSMUSG00000021040	769.447018743117	755.587313492478	824.136999999977	982.367715700786	792.573881778132	986.232723872501	906.538126649083	951.211043030906	1175.72115820293	990.889415408228
ENSMUSG00000021044	258	221	119.32284791915	155.955530248022	212	336	148	119	98.5542636403682	110.104361778466
ENSMUSG00000021047	587	698	228.080692716743	301.243380475405	607	758	461	567	101.461324906282	203.427948924296
ENSMUSG00000021048	2220	1923	2436.87140299077	2584.64341496298	2273	2588	2262	2363	2924.63707259325	2695.20303113536
ENSMUSG00000021051	2011	1960	1053.28744110588	1137.80182460973	2021	2165	1844	2024	996.917206223226	1038.42870225785
ENSMUSG00000021054	3197	2582	1821.6959689572	1865.38393007224	2917	3290	2745	3175	1842.73967148923	1788.94764000459
ENSMUSG00000021055	98.7673805507664	113.371559127838	56.8513801403875	115.457940747053	93.5115906702924	128.532770371608	104.269209873484	107.913212970732	70.1558365538945	117.211924229707
ENSMUSG00000021056	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021057	32.8685694855941	47.612821597699	31.6665766929094	37.1584806648526	44.5956942771184	41.6428483103223	39.8060513608492	40.2081796664698	27.6557165570308	32.531906566107
ENSMUSG00000021061	36.0028851738765	34.0132122147862	33.0076725089324	31.0045075706929	25.020096574346	32.0301981852079	24.0248056326243	26.0049093244743	15	5
ENSMUSG00000021062	19	17	6	18	14	2	3	15	3	1
ENSMUSG00000021065	1163	969	866.125284764115	983.527300998019	1138	1212	1062	1151	842.409478487906	981.66557439675
ENSMUSG00000021066	88	70	51.1072071105722	62.8943730919691	97	104	104	86	36.4701114732346	53.8583405923182
ENSMUSG00000021067	3400	2841	2373.98390515696	2432.50455343164	3116	3456	2590	2841	2169.87013660865	2086.1707853657
ENSMUSG00000021068	2658	2379	1731.89434971251	1885.57297559597	2035	2304	1961	2114	1574.24833498798	1661.1505538665
ENSMUSG00000021069	14.4923626754093	9	0	4	14	16	16	19	0	0
ENSMUSG00000021070	14	4	4	13	14	5	5	6	5	7
ENSMUSG00000021071	6.21443502135756	0	2	0	1.05181142978239	0	2.04708693455584	0	0	0
ENSMUSG00000021072	3039	2667	1698	1608	2383	2462	1702	2218	1342	1294
ENSMUSG00000021076	2687.66493211215	2528.33903860443	1558.65958696969	1614.73579504095	2676.78638856151	3074.68428383705	2536.1674628858	2600.06859806593	1482.69673940911	1418.41708060205
ENSMUSG00000021078	2	1	0	0	0	0	1	2	0	0
ENSMUSG00000021079	418	350	167.951023613982	167.741405666501	408	468	489	492	193.849991263613	147.239856244325
ENSMUSG00000021081	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021086	0	0	0	0	2.00950614037664	0	0	0	0	0
ENSMUSG00000021087	1	0	0	1	0	0	0	0	0	1
ENSMUSG00000021090	1	0	0	0	1	0	0	5	0	0
ENSMUSG00000021091	5.40055596135989	2	8	9	7	3	14.089024771665	6	0	4.03810539633034
ENSMUSG00000021094	575	496	249.029755805242	425.272014594973	553	645.979671009457	519	408.978859015453	367.897606958382	482.395758591862
ENSMUSG00000021095	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021096	2926	2509	349.166662088681	447.918052248439	2737	3197	2501	2671	320.445408998035	376.405175422163
ENSMUSG00000021097	20.5048009471051	12.3715339522601	1.04260063756894	7.22064542675132	15.1548303924064	24.327945229133	12.9463174067833	7.9628816161713	9.19521458315863	13.7110279412071
ENSMUSG00000021098	5.18752229462139	9.23186598862989	0	4	3.12987919568823	8	0	12.3026168568734	2	3
ENSMUSG00000021099	1.21926118457869	1	0	0	3.28599386436995	3.61955703259381	0	1.07754459092418	0	0
ENSMUSG00000021101	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021102	914	780	746.680205240562	828.768767661128	792	1104	973	1040	1078.60428915241	786.020989691785
ENSMUSG00000021103	909	811.171816720941	925	922	947.549808664833	1006	948.105540811713	934.001498883137	1122.15397134711	996.295694028505
ENSMUSG00000021108	2	3	0	1	3	0	2	4	1	1
ENSMUSG00000021109	6019.08945269338	5491.38340942765	3718.63757461552	4133.86882343497	5898.37196070114	6607.58549471504	4917.58735513866	5682.90552242228	4160.96706717429	4481.01415333034
ENSMUSG00000021111	6458.69016244654	5852.61104864544	4671.97327645895	4976.97073231573	6476.74918398116	7162.614922442	6479.9184795396	6827.71088877343	5140.99826483386	5351.93880930479
ENSMUSG00000021112	883	970	447.424428099953	360.647459710229	913	882	741	859.937229074273	282.492246713919	392.944551083486
ENSMUSG00000021113	236	223	263.120320396382	248.679351741195	278	274	227	266	251.296056904186	230.091347406571
ENSMUSG00000021114	1377	1201	940.673608033734	1246.13307333613	1372	1519	1430	1423	1095.05301030119	1095.65333309162
ENSMUSG00000021115	1032	879	990.847898074141	915.742345343282	761	784	760	718	947.97134735541	773.217473449221
ENSMUSG00000021116	3222	3100.86532884513	3190.79695022869	3241.99603623789	3135.39998882709	3851	3571.89409745753	4019	3952.71146855528	3445.35677023881
ENSMUSG00000021118	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000021120	326.352387204783	242.196874345449	158.247770811029	215.10795440024	278.516281418987	297.631062541613	294.966507299547	258.47895107457	177.788797259311	241.318401903449
ENSMUSG00000021123	26.9161017447323	23.3083621476833	17.2413061977744	28.1944625766962	12.1549604608183	15.1494948080752	24.250116139408	8.74347969090768	6.02927650849612	4.58690937403271
ENSMUSG00000021124	1589.94573614032	1349.93889132476	1864	1982.98548858468	1446.90373204837	1978.9548590295	1588.90631412549	1632.97162997012	2145.96787388093	1780.9862601078
ENSMUSG00000021125	6.05426385968327	9.06110867524019	16	11.9365721534732	12.0962679516265	10.0451409705009	15.0936858745065	8.02837002987722	10.0321261190706	6.01373989219833
ENSMUSG00000021127	2361.71284189096	1892.49749466037	1706.01972903114	2159.78645321825	2464.99926904142	2828.92354014932	2504.34625741288	2545.61226819676	1957.34918981427	2326.94340774237
ENSMUSG00000021130	753	714	1006.12706257917	961.859159395994	454	622	180	180	83	30
ENSMUSG00000021131	2232.32834986204	1885.89458589276	2261.1397340525	2536.35256920059	2010.57832797189	2402.89133690371	2458.96093039105	2555.05528596188	3524.46894464532	2847.29650298077
ENSMUSG00000021133	2160	1986	1860.66984199869	2152.79343310003	1817	2251	1387	1643	1042.65694726549	1117.64263076775
ENSMUSG00000021134	9119.92098921844	8300.61622805417	6354.72968363841	7100.69908564984	9083.49690160835	9470.491186793	8720.10386181466	8849.18836696378	6625.05227561817	7062.41179707273
ENSMUSG00000021135	2	1	0	1	5	2	5	4	0	0
ENSMUSG00000021136	0	0	0	0	0	0	1	1	1	3
ENSMUSG00000021139	103.69241902924	122.500431781824	162.073763386475	215.84930028287	176.042070610377	167.960690148929	123.863022590467	141.155850966227	233.087685045653	188.213410211746
ENSMUSG00000021140	2242	2067	520.292795373917	657.607223295987	2239	2489	1867	1983	333.168586373744	612.943744810628
