ESC_slow1	ESC_slow2	ESC_slow3	ESC_slow4	ESC_m1	ESC_m2	ESC_fast1	ESC_fast2	ESC_fast3	ESC_fast4
ENSMUSG00000000530	56	17	68	71	69	13	42	17	42	33
ENSMUSG00000000531	241.76121296151	292.071109783565	352.794151945726	268.421494235526	247.348576973896	270.586968767812	216.82970488736	313.240888860796	261.693461218257	235.494197198869
ENSMUSG00000000532	1233	937.498013213885	1223	1276	1250.9652516465	950.984291213833	1080	984	1151.17996984728	1044
ENSMUSG00000000538	370	440	515	499	340	330.518683816821	285	360.972978089836	346	351
ENSMUSG00000000544	2097	1380	2210	2594	2077	1076	1772	1270	1683	1828
ENSMUSG00000000552	1272	1314	439.224214055756	524.69669776536	1425	1247	1291	1475	505.340208714362	471.179317789888
ENSMUSG00000000555	349	521	328.884925548781	385	421	677	382	741	364.384394401492	393.484202998734
ENSMUSG00000000560	0	0	1.41171708362749	0	0	0	0	0	0	0
ENSMUSG00000000561	7377.33280877716	8358.90718733065	7707.88575913747	9033.04776122805	8568.31189292213	9208.12383273816	8268.97116471512	10671.1200921177	7898.03840503738	8204.30425887666
ENSMUSG00000000562	16.0123334542639	16.0373141415391	5.01771202661819	8.67814063697107	15.0267413432373	11.0478928820668	21.7644667908083	21.0599730798476	12.7268789446785	12.0648399415258
ENSMUSG00000000563	8191.0515513354	8147.31119820121	7061.4016405047	8454.24652900885	9177.80298256185	8606.6743384824	8467.82445785306	10121.9524109935	8123.63764801905	7679.47459685993
ENSMUSG00000000567	2	3	0	1.01402210143939	2	2	4	6.60031011178195	4	1
ENSMUSG00000000568	9464.64447434563	9269.09344076599	7057.08360696168	8778.07073773313	11808.0244024041	10752.3943885036	11484.1901313425	12964.8525156619	8866.61119315798	8932.4550321546
ENSMUSG00000000579	647.898156070064	617.231063538047	200.806788499548	225.02008012209	683.402493392565	671.453053585843	673.263661624169	761.792434621155	185.703757784742	177.425487334247
ENSMUSG00000000581	1293	1361	809	1029	1578	1491	1635	1718	1081	944
ENSMUSG00000000594	758	702	859	681	791	803	793	920	755	731
ENSMUSG00000000600	849.688935819479	739.609194364333	564.62531889217	818.852435410618	855.114889779683	751.215004176583	964.08666411141	889.177134950095	576.41550332295	665.161209356878
ENSMUSG00000000605	203.436758692428	251.438844598026	168.209074104654	196.415624613784	220.973433176563	279.670376185511	224.312087212342	266.612275368277	173.266391227771	184.229803055237
ENSMUSG00000000606	6.78891122589767	1.88820760572597	0	0	20.4496781244223	8.13477848933853	3.08323658770094	1.9166385078701	2	2
ENSMUSG00000000617	2	0	0	1	0	0	0	5	0	1
ENSMUSG00000000627	245.921694573275	286.789683997113	394.806020179528	306.02367039018	245.058949727911	285.819195055168	236.035711333466	274.919764005762	381.92939474376	239.690991855503
ENSMUSG00000000628	9262.995153675	8179.98721515592	11424	12948	10579.9816845402	9177.99553480823	9607.98817414247	10007.9814598446	11545	11384
ENSMUSG00000000631	701.347607036774	735.476808023918	1128.60971195626	1109.16860241698	727.221233037865	732.51685515643	676.654919319554	815.378293602575	994.618200922464	887.606340550486
ENSMUSG00000000632	17.2520658040303	10.0774029133045	9.01558036456763	15.0050388656194	17.0412202767455	7.18666749005902	14.4734550426619	11.3113542237819	9.0152683048165	7.0248776974988
ENSMUSG00000000673	3	4	6	1	4	4	5	8	11	11
ENSMUSG00000000682	2	2	3	6	0	0	2	2	7	1
ENSMUSG00000000686	8	6.70965227021034	5.66029323885287	6.27875334552474	8.82034359890404	2.51697489778176	13	10	7	6
ENSMUSG00000000690	0	0	0	0	0	0	0	4.17714795550219	0	0
ENSMUSG00000000693	80.4769279982638	90.5332849952144	59.1860508885778	69.324136660909	68.9212471010546	69.3867340513228	75.1797797060686	81.6985836868556	41.0751787483412	52.3183090045675
ENSMUSG00000000701	1.47943338970934	2	0	0	1	0	0	0	0	1
ENSMUSG00000000706	5.0303938781769	5.08435682944534	9.20169923048418	0	3.01874928873108	8.16605240426457	3.0150872426575	13.1662349548447	5.08532963523719	2.36217554492359
ENSMUSG00000000708	2774	3018.90268438767	2332.96184571715	2708	3216.89954305717	3206	3002	3556.95977725972	2294	2191
ENSMUSG00000000711	2313	2132.93420414214	2394.67312785887	2666.81408956078	2541.66195133761	2250	2197.47971357278	2383	2147.04976232486	2046.27921745473
ENSMUSG00000000724	5.01756398946548	5.15959457741931	4.00570066450171	2.01104101523496	4.01951545926218	3.2229144703251	8.02765937779957	13.5220803664582	7.14740037670853	7.07020609271654
ENSMUSG00000000730	4495	2227	3178	3818	5033	2167	4610	2526	3795	4434
ENSMUSG00000000731	755.468943136792	457.944175335776	1013.39155530726	806.119867150079	783.778051949687	366.617734757794	530.527339491601	282.892111195732	733.270977296397	650.393159296419
ENSMUSG00000000732	391	351	248.175538625629	297.871255582058	463	277	394	329	224.683851368321	266.535844469865
ENSMUSG00000000738	1284.51067714258	1274.63665673351	1416.01407484333	1437.97422173083	1320.01357118714	1281.70022182216	1152.73895372558	1359.58212612542	1326.2929623379	1317.9068114887
ENSMUSG00000000739	11	4	57.5785518319628	59.2803931801316	13	15	13	11	50.5504379429486	58.9725419537996
ENSMUSG00000000740	41467.6416660845	40773.0169909627	50883.5788986052	50976.6422896354	46711.9603902808	36731.3472677136	40809.8435648158	46958.6293950091	46272.0557858731	45422.3745979755
ENSMUSG00000000743	2736	3166.84191739486	3341	3621	2847	2913	2645	3482	3125	3259
ENSMUSG00000000751	7157.58006094668	8137.92687337925	6200.66992221546	6997.29415216547	8664.26556147923	8701.60530330896	8310.0092438347	9962.15932480603	8063.56691382437	7744.9710163214
ENSMUSG00000000753	6	8	5	9	8	10	9	23	7	10
ENSMUSG00000000759	2231.34639795062	2173.19536807603	2226.24443783714	2717.33588290456	2796.65481016336	2387.51445667046	2439.40733616612	2578.92835814927	2246.40123242947	2465.40280578468
ENSMUSG00000000766	0	1	0	0	0	0	0.999987797026601	5	0	0
ENSMUSG00000000776	1047	971	953.139442759371	1067.91436507338	1067	935	976	1088	908.85148356279	976.972448520345
ENSMUSG00000000782	1358	1604	1650	1440	1645	1781	1649	1997	1974	1564
ENSMUSG00000000787	28222.9987095125	29285.9985860779	20120.998534011	26676	35075	36228.4698546392	36871.9992202242	39617.9979491137	23414	24208
ENSMUSG00000000791	25	13	0	8.13195456909793	20	28	23	29	31.9999995099727	21.4832754155614
ENSMUSG00000000792	137	86	125	194	205	72	195	97	230	285
ENSMUSG00000000794	9	24	12	8	6	16	3	23	12	7
ENSMUSG00000000804	1437	1384	1381	1549	1539	1484	1420	1601	1463	1287
ENSMUSG00000000805	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000811	624	495	695	710	633	544	615	612	605	641
ENSMUSG00000000817	0	1	0	0	0	2	0	1	0	1
ENSMUSG00000000823	1961.36717788974	2123.97807198139	2233.85777837328	2533.70648900987	2179.20546275406	1905.9090264885	1760.30908757439	1835.19921539639	2016.86047068903	1960.35447464303
ENSMUSG00000000826	2281	2327	2323	2644	2502	2535	2259	2742	2362	2392
ENSMUSG00000000827	2530.27409476394	2354.57631931872	2623	3037	2770.29035164624	2440.83305819997	2634.88914148074	2800.11418261935	2396	2512
ENSMUSG00000000838	8803.75022704072	8723.11508071059	4877.43471138235	6097.59290525187	11296.8021191851	11081.0402247584	11871.6801741447	11637.0614796444	5680.28520482098	5693.94069161912
ENSMUSG00000000861	67.1492226331757	25.0231639514542	26.0018735708165	38.0749932062047	53.0131047992788	22.0421961651955	79.1104868451616	49.0093931560139	36.0414140796373	53.5429718682275
ENSMUSG00000000869	13	12	9	11	21	14	14	17	9	11
ENSMUSG00000000876	236.695035388907	239.131456393439	279.644256354168	275.797424371515	281.480770973688	247.961878201066	280.220538556316	274.944463078217	272.121041288123	238.940658554897
ENSMUSG00000000881	775	870	734	778	928	984	883	1095	814	705
ENSMUSG00000000884	332.511244405069	318.106201870382	337.280884027922	359.228212947525	327.645378341245	299.451475540702	292.516462049742	360.138169232264	347.520635200713	252.457625417245
ENSMUSG00000000889	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000000901	679	517	821.895289137207	741.264790538317	620	473	499	510	553.16743346362	561.494261438799
ENSMUSG00000000902	2647.44845254395	2810.96099090785	3202.94517474822	3499.27519255502	2893.79031840877	2971.39560234889	2704.50627260973	3545.858407727	3029.81729299994	3201.66974535309
ENSMUSG00000000903	26	37	35	34	37	26	32	33	27	23
ENSMUSG00000000915	728.410591282867	655.380122068628	989.350636277947	972.350772537072	658.919106410347	552.44061512472	669.326907498966	562.59739825452	848.35616592682	810.401203283775
ENSMUSG00000000916	837.698174941136	976.011978201583	972.951948020008	1173.42322849092	1004.14255004788	1032.06276364723	995.687051591702	1105.99674847945	978.249260595342	1123.35512951882
ENSMUSG00000000934	227.962588633908	148.818559411565	247.327687421804	212.959609193596	209.960668293641	112.926641987241	168	164.966053606591	227.099176737291	196
ENSMUSG00000000938	13	32	20	16	14	36	9	35	13	3
ENSMUSG00000000942	9	16	2	6	9	14	8	9	4	4
ENSMUSG00000000948	1096.80696816543	921.633510534232	368.671222545899	490.738481424264	1375.99884666428	1184.01381123757	1329.88418906172	959.40749277558	553.182796266522	528.955300748464
ENSMUSG00000000957	210.58829858415	151.993239210169	278.86194109773	324.129016038938	202.757827263559	190.530692437278	207.584967291068	237.409135855108	358.91092800833	314.219079967674
ENSMUSG00000000958	86.6084868127387	174.432350907469	19.6681155128595	55.1261078853023	311.241566555422	76.0552376442156	32.2505367109093	0	68.6926464313001	0
ENSMUSG00000000959	2612.69444265065	2538.84951539561	2486.27732680686	2796.76416132318	2874.82542474319	2671.43434886436	2628.00147942484	3103.16226752502	2442.15250718881	2447.26989022214
ENSMUSG00000000976	871.574669582308	749.242739049638	988.258092672915	1137.59133302692	951.984532333788	859.541555851617	933.204077715859	991.8679937837	919.99223173615	929.482921654801
ENSMUSG00000000982	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000000983	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000001014	8	7	3.31391392820558	0	6	3	10	16	6.55370895769777	4.11169632448854
ENSMUSG00000001016	3141.39768090535	3182.92889031892	1831.90533371123	2236.80981330397	3727.71738368864	3856.05333948513	3891.83498447075	4114.83332465886	2201.6088052837	2286.26246420942
ENSMUSG00000001017	4916.94140956179	4786	4019	4943	5262	5116	4944	5818	4392	4507.96891410317
ENSMUSG00000001018	1007.79335553977	965.562677583905	838.463965843186	926.209816215064	996.214104687478	1042.22411627178	996.757291459091	1112.88498361516	875.499860092206	875.11479338854
ENSMUSG00000001020	0	2	6	4	8	2	3	4	8	5
ENSMUSG00000001021	0	0	0	2.2211392875723	0	0	0.690807962325641	0	0	0
ENSMUSG00000001023	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000001025	177.630198647653	163.065425482065	129.91806753741	184.837923328967	134.661073825683	89.0242019242627	93.1136370320514	143.931944058062	46.4560568551255	110.154361690782
ENSMUSG00000001027	9	4	11	6	6	5	11	3	4	6
ENSMUSG00000001029	23	25	25	26	35	27	13	22	11	16
ENSMUSG00000001034	1362.98052915091	1390	1573	1673	1361.98754250485	1475.94178156983	1330.96124179011	1621.96212360477	1669	1735
ENSMUSG00000001036	1618.86233048963	1923	2089	2159	1774.05666187274	1998	1572	2033	1922	1851
ENSMUSG00000001039	394	315	461	467	426	291	353	399	401	430
ENSMUSG00000001052	1974.22926362971	2130.59081377854	2301.80360597432	2733.18425286164	2333.72123808462	2190.17113518042	2018.70846632275	2379.06716285108	2161.58830344775	2115.58965477188
ENSMUSG00000001053	1215	1163	1577	1653	1268	1128	1222	1368	1436	1418
ENSMUSG00000001054	1125	1070	1300	1256	1085.01015699526	1007	934.022977124519	1185	1171	1064
ENSMUSG00000001056	3820	4042	4349	5096	4334.98984300474	4127	4092.97702287548	4945	4532	4864
ENSMUSG00000001062	375.251258948063	390.316509884808	506.684313906589	490.501143694177	382.7360479578	338.378735391383	341.701692773524	407.04221636175	448.032549434396	461.600586221323
ENSMUSG00000001065	394.573243352531	398.733111463673	510.727235836915	459.442465669407	419.261487148404	350.646407255479	305.653424751569	348.761137790716	411.119515327578	407.61317811147
ENSMUSG00000001076	5	3	14	14	6	1	2	4	17	10
ENSMUSG00000001082	2530.88493611691	2098.52672115076	3017.4689872893	3362.77559929829	2962.72322386025	2205.11440688879	2559.53142531806	2496.15823595797	2763.8819499012	3055.32419626665
ENSMUSG00000001089	2747	2958	2641	3219	3249	3305	3014	3322	2949	2965
ENSMUSG00000001095	16	32.1277177992063	30.5866001174141	16	16.9208795269888	46.8689364662014	9	56.8122018073585	27.7138409277608	17
ENSMUSG00000001098	768.58186184731	699.153133642801	767	923.171277623736	767.361919983053	682.499092395109	675	839.582768607851	749.658928613144	783.833779246459
ENSMUSG00000001100	2608.29451397229	2803.41070860955	2705.58016568398	2804.61180433118	2824.21258243644	2858.08229339897	2690.74665104815	3487.17940231481	2658.63030829024	2664.75926889726
ENSMUSG00000001103	0	0	2	0	3	0	0	0	0	1
ENSMUSG00000001105	450.988925274681	455	469	523	462.345605496977	453	505	611	534	573
ENSMUSG00000001119	9	5	6	8	27	10	12	18	8	7
ENSMUSG00000001120	333	211	490	497	340	229	300	231	434	436
ENSMUSG00000001123	96	75	103	93	84	64	51	58	103	89
ENSMUSG00000001127	4279.07127362529	3927.55018025194	3846.36063002856	4334.02602488207	4357.03743023081	4154.48221205533	3623.96029562732	4112.3284629006	3208.91940619119	3276.64181189033
ENSMUSG00000001128	1119	1038	1640	1770	1224	1007	1054	1181	1338	1321
ENSMUSG00000001131	2602	2917	2687	2879	2953	2982	2709	3476	2192	2255
ENSMUSG00000001134	1076.47354360666	996.782744836227	1165.29622421896	1411.79508001911	1255.03316117074	1047.46402755359	1111.88718009151	1310.01041939618	1038.80876875257	1099.41608852391
ENSMUSG00000001138	838.909525618924	829.785266128616	832.482753861684	886.188020928872	959.168147037782	784.263703357593	857.259562449921	935.284787577297	920.094070350711	924.695217764202
ENSMUSG00000001143	487.874784225544	451.079119087652	527.356278447509	549.97862635298	498.832250132529	477.837083732298	448.314791933472	554.054224030154	505.568895748562	453.499981264141
ENSMUSG00000001150	7455	6475.95655112786	7888.25366893805	9565.57966845208	8297	6323	7912.96004255797	7166	6301.91117485507	6931.68633368167
ENSMUSG00000001151	2592	2555.94577771159	779.030028352255	1486.97092097851	3139	2776	2869	3162	852.510270842724	756.895216718241
ENSMUSG00000001155	2.00088075823965	3.5342148142384	2	0	2	3	2.00246706343341	6.00965071534767	0	1.00309810836352
ENSMUSG00000001156	301.710161996045	302.68808297019	267.631366705228	226.718290319715	275.457950392834	249.796740457794	233.54215534368	267.497290606018	260.178622582226	241.984622856253
ENSMUSG00000001157	2148.24780287084	1940.24290857149	1379.65184852671	1630.01935639344	2284.43310755668	2152.00579250869	2308.17503958638	2467.50269134755	1478.34178426646	1536.00908485928
ENSMUSG00000001158	1579	1509	1763	1934	1655	1558	1560	1895	2154	1866
ENSMUSG00000001166	399.649316584539	262.82863203615	259.658251592819	341.383611318302	361.138892412192	222.570159419758	290.868122775663	249.713681570602	180.435157005791	208.529418283664
ENSMUSG00000001168	5	30	9	4	8	23	11	15.0053048069782	5	4.00181504077362
ENSMUSG00000001173	1960.52365601929	2268.70399516017	2440.04188975775	2483.53981264877	2233.47071228712	2515.00076202383	2103.96679722082	2596.98777704895	1997.30760570241	1723.54213188348
ENSMUSG00000001175	5409.89505829868	5360	3733	4658	6334.84880218831	6015	6612	6991	4936	4935
ENSMUSG00000001211	1058	1242	1314.96018182778	1358.71585847023	1243	1267	1183	1630	1229.98937450959	1150.75201614383
ENSMUSG00000001225	5.67637628308124	11.7945737823681	6.357888033385	6.59857313359643	6.41109978975946	5.2733824825675	2.3389653972952	9.02134834696695	2.77489066880276	1.6084067792644
ENSMUSG00000001227	64	75	98	104	42	44	66	71	80	104
ENSMUSG00000001228	14108.8126671486	16468.2309859628	14391.7890513504	16225.9773666017	18888.9900065794	20155.606518508	19435.4753064517	24757.2609225155	18431.9848458808	18378.6025458801
ENSMUSG00000001229	1244	1378	1402.1802018033	1706.89883087828	1540	1527	1486	1707	1473.49732710982	1550.8577751755
ENSMUSG00000001240	62	34	46.1508957472051	54	43.2088135184446	21	53	15	50.8598441409901	35.3812917916807
ENSMUSG00000001247	736.765556224215	671.864801569295	710.437701591287	800.799028474242	708.253392547499	602.768176307992	740.969502105146	722.132323989213	826.163564435476	922.400081141775
ENSMUSG00000001248	1520.17233079561	1606.55601472943	1968.04085257344	1719.18256758192	1356.67216540014	1330.13802336786	1114.59243472358	1467.46510602264	1299.71037564199	1227.26585273204
ENSMUSG00000001249	67	24	99	98	38	13	28	18	98	74
ENSMUSG00000001260	0	0	0	0	0	0	0	3.43466562461183	0	0.721268338905762
ENSMUSG00000001270	7300.48490505291	15791.9480003391	15426.5772368355	12029.8393062541	6990.82450518772	15400.1556426551	6339.95258351224	18161.7296676185	13225.9468125197	10469.248235009
ENSMUSG00000001280	6608	5900.90336707148	5536.98305078605	7089.97828619452	7325.97003072762	6047.89136188302	5928.97821049906	5732	5885	5928.98296762023
ENSMUSG00000001281	511	439	670.212222106447	716.290164955367	573	385	588	504	620.904720516614	617.4950997405
ENSMUSG00000001285	1118.65160521339	1149.99661376955	1223.01876255397	1325.87316121217	1368.01607756442	1195.81616988414	1208.00084072709	1355.49256270069	1270.63059310156	1265.91377980734
ENSMUSG00000001288	1692	1780	1440	2003	1769	1686	1452	2033	1215	1783
ENSMUSG00000001289	1284.11943338177	1310.79764436959	1671.83968468154	1935.7626820851	1419.98392243558	1144.18383011586	1326.99915927291	1455.26224333039	1736.36940689844	1625.08622019266
ENSMUSG00000001300	59	54	32	50	49	54	65.5255703964814	74	38	51
ENSMUSG00000001305	2031.55946604003	2114.15468306455	2074.93728131808	2430.94652702557	2328.24468894842	2279.38151108129	2281.96977396637	2705.32904041835	1992.51734935671	2217.83560120425
