ESC_high_1	ESC_low_1	ESC_high_2	ESC_low_2	ESC_high_3	ESC_low_3	ESC_high_4	ESC_low_4
ENSMUSG00000000701	0	0	0	0	0	0	1.6261150829019e-06	0
ENSMUSG00000000706	2.00176015169886	1.00106801783859	0	4.0610776310253	3.04052770578849	4.42244940601371	19.4566560055401	9.3981361674529
ENSMUSG00000000708	2799	544	2732.94406849469	3053	2121.93145927357	2749	2451	2379
ENSMUSG00000000711	1803.7750042923	311.994995749941	1746.21136585468	1752.96156271823	1620.35785580625	1825.6408452982	2303.70488548959	2021.0822927849
ENSMUSG00000000724	6.10674094432645	1.01539055155572	6.04685110946989	9.02244234058743	6.02526915738362	0	3.02660646338367	9.1279218358406
ENSMUSG00000000730	6989	1047	7401	5693	10624	8990	4344	4442
ENSMUSG00000000731	376.572043078061	81.0254400613116	468.273627207701	416.124270907414	342.372191511695	434.887212531696	929.519693849141	839.169560166183
ENSMUSG00000000732	388.643572621545	61.4469731926664	474.222497649399	463.028685868867	853.772110821063	882.929270161265	274.898450333608	336.175984959924
ENSMUSG00000000738	1569.01931831094	217.218314650718	1522.42080004057	1345.93728467979	1872.80424725784	1370.64126691492	2220.0160900292	2178.74101917668
ENSMUSG00000000739	52.3192461845731	17.1270002504249	52.4092735284638	57.1291228155918	72.748324583185	59.5883210812492	110.570704054031	104.716750391871
ENSMUSG00000000740	47854.9439360185	6007.20577101956	42607.6817337476	45075.4254934698	57863.619261626	50578.4575242428	53451.4090003428	64599.3731129643
ENSMUSG00000000743	3437.66881308415	562	3075	2995	4721.86341322249	4551.56419719486	3094.98197606838	2951
ENSMUSG00000000751	10151.2086474819	1656	10260.1555888591	8886.9977947223	9968.23344111888	9756.81490477337	9419.77346470537	8982.63976416618
ENSMUSG00000000753	15	2	13	16	9	5	23	17
ENSMUSG00000000759	2795.03984161302	490.282622221427	2523.87175525911	2556.68248449465	2867.03879427886	3027.18076533726	2037.62226486927	1796.0769727729
ENSMUSG00000000766	0	0	0	0	0	0	0	2
ENSMUSG00000000776	1082.91570865545	155.857654973812	959.819494641488	877.453058548836	1409.93225832275	1331.71251511747	973.860055248052	897.624928604391
ENSMUSG00000000782	2083	294	2095	1672	1950	1353	1928	1990
ENSMUSG00000000787	31954	5933.98096694642	28543.9998832564	31842	24533.9908904931	26707.99989531	17144	15873
ENSMUSG00000000791	28.9357597527529	3	31	16.1908811383135	20.318326951928	0	0	11.1525197683496
ENSMUSG00000000792	341	38	415	335	375	284	536	726
ENSMUSG00000000794	13	2	6	9	14	4	24	17
ENSMUSG00000000804	1229	197	1289	1201	1013	1114	1759	1249
ENSMUSG00000000805	0	0	0	0	15	0	3	1
ENSMUSG00000000811	734	122	670	651	683	600	611	702
ENSMUSG00000000817	0	0	0	0	0	0	0	3
ENSMUSG00000000823	1996.73637775254	319.011908665777	1782.37070439145	1890.45952960178	1992.09498534802	2466.53899190785	1717.8192712758	1497.35184729227
ENSMUSG00000000826	2354	373	2305	2283	2638	2788.56261537839	1850	1654
ENSMUSG00000000827	2641	484	2636	2465	2897	2561	2804	2935.88781813472
ENSMUSG00000000838	5709.11625895454	1292.39425570998	5115.92346798787	6397.73097148427	3774.12450210011	5328	4456.15966514655	4393.21468365107
ENSMUSG00000000861	43.0982297721386	8	49.0543353204343	51.0760199310204	33.0508822765854	32	11.0025416815532	25.0295042881938
ENSMUSG00000000869	11	1	4	6	4	14	9	13
ENSMUSG00000000876	230.343909098193	51.8989419858247	274.366085446589	245.083183847045	255.861912823613	294.467892632663	418.893223597303	409.82510988201
ENSMUSG00000000881	754	157	709	835	600	726	1231	1053
ENSMUSG00000000884	307.507518786782	16.914105954978	328.243797359314	373.177166962102	287.265148901837	175.958389411897	423.729291101455	439.102652170355
ENSMUSG00000000889	0	0	0	0	0	0	0	0
ENSMUSG00000000901	487.142372127237	80.3884132857436	410.976124095449	434.674859659216	591.419277574603	647.533659089852	1851.39878149317	1645.67775909234
ENSMUSG00000000902	4135.6538019447	659.727633833626	3764.33417678678	3346.91323519683	4437.34161363149	3878.57881663228	3140.50517513333	3204.47443720906
ENSMUSG00000000903	19	1	24	33	22	22	37	54
ENSMUSG00000000915	680.977396952858	141.215128397349	709.463380497631	767.272935050823	677.690679957884	742.925364562057	1013.69953080175	1088.95079081345
ENSMUSG00000000916	1080.59599679916	117.404351166758	1009.86956025561	1017.24223389804	1314.21361839238	1167.35063557664	673.319380951475	735.117773905269
ENSMUSG00000000934	159.786739704624	23.6767008989836	152.596213886664	162	181.722394494989	184	272.510349308502	303.256807787978
ENSMUSG00000000938	18	2	34	28	22	25	15	12
ENSMUSG00000000942	2	0	1	3	3	0	5	22
ENSMUSG00000000948	562.733758692073	115.628165548766	628.492187210036	608.043080621459	356.60360380954	416.775017889838	661.18421729014	540.898448861299
ENSMUSG00000000957	323.222137350031	29.4758639562711	327.183998637303	244.020605307617	272.883091032933	206.018093821034	302.661515051683	366.829660731685
ENSMUSG00000000958	0	0	16.4942452844715	23.1880725626589	167.404705951329	57.8890985702649	13.5131742978886	12.4107173274846
ENSMUSG00000000959	2596.47812956938	307.459133472379	2494.71926261011	2550.94292676074	3019.58958204256	2828.00373109147	3067.35017618443	2851.73387140731
ENSMUSG00000000976	1190.82780083716	195.64329979696	1060.03226696826	1157.0089359088	1122.15321096909	1241.83216122232	1029.05835713163	941.167148641004
ENSMUSG00000000982	0	0	0	0	0	0	2	0
ENSMUSG00000000983	0	0	0	0	0	0	0	0
ENSMUSG00000001014	0	2.40507442645737	0.00262480964504905	0	11.973029600967	3.00788381971587	4.14411621820192	17.641916244545
ENSMUSG00000001016	2675.44895448076	314.164158398333	3027.06809861917	2447.29030696645	2777.91639898683	2122.86232043539	2334.95614943949	2617.97889798229
ENSMUSG00000001017	4674	797	4327	4147.96460806028	5029	4675	4443	3983
ENSMUSG00000001018	670.832141399445	146.074105743084	657.450578070039	796.805065059955	762.321055679443	857.410905337385	968.421522621516	830.104397586604
ENSMUSG00000001020	1	0	6	4	13	12	5	6
ENSMUSG00000001021	0	1	0	0	5	0	0	0
ENSMUSG00000001023	0	0	0	0	0	0	0	2
ENSMUSG00000001025	223.147438961877	0	198.810224321694	270.200592314459	631.670718016158	865.481419572258	259.409147389563	160.983492942401
ENSMUSG00000001027	7	1	13	4	9	12	9	5
ENSMUSG00000001029	21	5	20	24	8	38	18	2
ENSMUSG00000001034	1651	288	1500	1480	1943	1573	1663	1604
ENSMUSG00000001036	1938	293	1789	1783	1754	1949	2339	2052
ENSMUSG00000001039	511	82	550	497	750	664	571	521
ENSMUSG00000001052	2009.89334963439	341.886586970819	2040.14116139283	2128.12903002444	1685.5959644448	2072.93283826455	2343.70587191098	2067.00671356232
ENSMUSG00000001053	1573	228	1346	1381	1835	1381	1274	1406
ENSMUSG00000001054	1059	167	1126	1024	1261	1227	1611	1398
ENSMUSG00000001056	5549	945	5394	4649	7082	5754	4287	4433
ENSMUSG00000001062	401.316318519414	72.2403052926338	399.470221114949	429.08792493135	459.943549111437	480.6056617698	497.292681815282	420.149586992917
ENSMUSG00000001065	439.173853415251	62.8531607148487	428.192460782605	523.24660941291	533.763273092464	610.246359586546	387.238037871558	379.236852526648
ENSMUSG00000001076	11	2	18	7	8	7	31	47
ENSMUSG00000001082	3246.37964146998	485.91238690625	2973.37505436363	3049.42434993354	4136.98927190396	4090.55443759553	2425.57898117088	2961.21871580575
ENSMUSG00000001089	2797	499	2963	2803	2669	2671	2808	2606
ENSMUSG00000001095	26	3	13	17	18.3769795815737	27.4850978457999	24.8196044143143	21.8876048120358
ENSMUSG00000001098	738.22319429855	130.67330324275	719.096737789105	664.060892705863	957	773.269079541945	685.134046245235	627.839816968706
ENSMUSG00000001100	3439.85585496034	571.700970133858	3171.24415026974	2917.39199408209	4061.18307981769	4106.87837950479	3742.05642032222	3467.96574891804
ENSMUSG00000001103	9	1	4	2	1	0	0	0
ENSMUSG00000001105	609.988474728088	94	583	491	826	594	397	353
ENSMUSG00000001119	7	3	10	9	12	11	16	15
ENSMUSG00000001120	428	70	369	326	469	435	842	761
ENSMUSG00000001123	78	16	76	86	64	122	182	96
ENSMUSG00000001127	3280.7024596965	716.76042987629	2959.34993148725	3659.3003242247	2969.88494642132	4243.49653090953	3195.05604790333	2968.42482360457
ENSMUSG00000001128	1056	155	849	969	675	710	689	656
ENSMUSG00000001131	2758	572	2510	2912	2934	4114	3018	2999
ENSMUSG00000001134	880.026028245598	208.395200898125	892.54147432814	956.544988581565	1118.52290237792	1124.48477518895	901.193695388885	863.950134791528
ENSMUSG00000001138	851.647599774028	153.983038618147	924.278574713443	901.670406569732	827.561116572306	712.01030010086	660.20949775306	861.933633043255
ENSMUSG00000001143	512.328219874695	86.1826511099059	542.222894996991	529.503145378649	474.913853649776	568.106439754327	569.412177452503	562.36425886744
ENSMUSG00000001150	5558.87400297863	1109.86834763038	5316.18249496129	6783.38215007521	5821.50087003829	7967.06216131193	4011.07298209072	3815.48455814313
ENSMUSG00000001151	1476.97483465894	396.957059928364	1739.72443158186	1186.66740495623	1433.26646612365	1280.88317247573	845.830165304704	898.731077558848
ENSMUSG00000001155	2	0	0	0	0	0	2	1
ENSMUSG00000001156	311.775533020431	51.7485468309317	279.43179270546	388.217928935913	274.358242053973	352.164965289032	495.384461856226	238.942466723084
ENSMUSG00000001157	1729.16274928604	302.837583129821	1687.50808738351	1725.76662942058	1614.77781887583	1759.90775659919	1712.48102577771	1638.60495700716
ENSMUSG00000001158	1820	345	2072	1793	1821	1953	2206.99688843706	2448
ENSMUSG00000001166	292.248695112464	91.3344564917571	228.575076030863	285	262.028783010599	486.874017065126	239.78522095603	270.873178030206
ENSMUSG00000001168	12	2	10	16.0122452413002	10	16.0084091463379	35	9
ENSMUSG00000001173	1914.85101081367	411.60810031139	1825.61652276954	2072.55313081637	1385.53791549912	2059.23770558109	2319.60555059022	1892.55345781551
ENSMUSG00000001175	6499	1042	6378	5567	7279	5861	4216	4854
ENSMUSG00000001211	1350.29017969109	250.155067336008	1195.98094593549	1391.5661149647	1251.19520197447	1667.4702013141	1631.03296512123	1618.83112006688
ENSMUSG00000001225	4.38712607957559	0	7.71510017941041	5.17964138128701	5.75314332131034	1.38492306526136	4.20538789977446	9.47104216144871
ENSMUSG00000001227	78	14	79	71	100	71	78	95
ENSMUSG00000001228	24933.5787413557	3777.92716100613	23524.4114897942	21193.961394103	26449.7830761916	21492.9895129875	18513.1914698059	20457.9910700262
ENSMUSG00000001229	1696.39648874003	254.450675874093	1432.67835441366	1456.00628019263	1771.61991904812	1657.12444564836	1009.86795841657	1168.40363339741
ENSMUSG00000001240	50	2	40.4382489413236	36.0283328603789	55	32	168.441959598195	119
ENSMUSG00000001247	955.627336817402	122.608054056041	1051.55792167081	786.852880107211	831.164516364758	739.066683264273	790.249427443858	963.184630025862
ENSMUSG00000001248	1251.18884789823	218.405704806347	1314.52323316207	1440.646518781	1316.19032474433	1465.28851265156	2439.13189528286	2291.3645817544
ENSMUSG00000001249	90	15	118	70	100	57	268	367
ENSMUSG00000001260	0	0	0	0	0	3.63160300632911	0	0
ENSMUSG00000001270	12049.7900524766	1912.83724743639	11564.3252659824	10375.7572308861	13605.3147309839	10646.930644171	12143.0867669531	9539.31565599748
ENSMUSG00000001280	5213	763	4738	4646.97467403841	4554.98178942994	4624.88970027064	5695.98162841004	3727
ENSMUSG00000001281	661.891888863979	100.264348885297	636.948745407939	765.657043645296	598.824795934337	540.248518736514	745.897851289699	864.921922122866
ENSMUSG00000001285	1588.01339333519	226.621894020284	1524.68681966056	1267.07221721564	1937.90692969449	1453.0292447439	1189.73322309468	1049.17472502146
ENSMUSG00000001288	1901	367	1712	2040.76858376536	2166	2459	772	903
ENSMUSG00000001289	1972.98660666481	392.378105979716	1877.31318033944	1735.5892307244	2345.51998032017	2301.9707552561	2520.96500536737	2469.0865781667
ENSMUSG00000001300	84.6815795281977	14	78.6529742916008	68.9173975493901	109.967640901589	154	50.8627134592006	72.8349121795499
ENSMUSG00000001305	2421.57763525482	424.737898873225	2299.71215269081	2179.11190481428	2844.28981712518	2491.70618822419	1964.70355282406	2195.23021507237
ENSMUSG00000001313	354.723798737094	64.0748270299389	412.937065056057	278.144836302288	460.915168944571	249.235120896726	428.414012061345	490.536761343707
ENSMUSG00000001323	133.060302881729	20.4553503614046	139.902703766744	123.421711417648	104.540179737446	185.064899818203	297.643653958988	287.021398530425
ENSMUSG00000001333	38.2631529931445	6.04079413441112	32.140780273482	32.2459005511749	47.4720604885015	49.3109144543547	41.3756306410678	52.4836792354443
ENSMUSG00000001334	3.01078016084174	0	9.05168154360548	2.00696309082824	2.00758048872449	21.4223973245038	15.0544112000112	23.0661286603494
ENSMUSG00000001348	154.411203449688	31.2336084951374	80.1913499083057	91.86490591216	77.1600546517984	170.888964971018	82.935881331223	119.955015989685
ENSMUSG00000001349	10.9770231943353	0	1.72375552658173	3.7805285467128	23.4349186685068	6.75842175774649	32.0958294117471	19.061054033748
ENSMUSG00000001366	487	91	521	498	529	586	355	370
ENSMUSG00000001376	2946.5636889802	507.63018788285	2671.28996571714	2770.53736958813	2595.64518541186	2633.94607230102	2082.73396249202	2041.80525867255
ENSMUSG00000001380	3482.63788550623	523.478994541489	3121.77916163388	2822.41156359459	4029.44440352935	3381.86420835533	2960.53401470195	2870.24210188997
ENSMUSG00000001383	3380.78056533222	535	3328	2784.75422274144	3857	3509	2649	2577
ENSMUSG00000001403	3732.32122026646	570.882788590785	3179.16005734856	3306.46739061023	4351.94782558259	3020.47305460145	2588.92862108244	2817.55457902978
ENSMUSG00000001415	6738.22586174412	1070.1489067189	6205.96683101528	5982.1000868033	9013.16010822764	7993.39496806578	5459.10640509687	5223.47739780577
ENSMUSG00000001416	21410.2259279228	3372.40402442244	19315.9211212945	17488.573082206	23694.0896104112	16623.4890777096	14241.3871536796	14361.4846748967
ENSMUSG00000001418	1886.90015782512	344.701584510095	1704.06926571847	1688.24220620569	2286.48913841069	2728.43248599566	2237.74273190007	1885.87468062823
ENSMUSG00000001419	1478.14718667631	249.151906436749	1336.37844961181	1291.62459281987	1467.79391436572	1573.02432458945	2039.61609161625	1802.01364461944
ENSMUSG00000001420	172.737982637192	25.2190283319002	139.148826144215	168.66445464046	164.518396235897	196.961826963055	119.572779159304	140.44848626173
ENSMUSG00000001424	8988.0316692651	1361.13049255646	8174.00985216759	7846.45089333277	8945.62200160688	8129.8047510175	8676.1140277603	8471.09500283327
ENSMUSG00000001435	3399.44636362173	672.622117541011	3417.46657681166	3942.8009118113	3455.96681827109	4076.83418409055	2899.69182836137	2990.03118270348
ENSMUSG00000001436	986	160	873	846	1017	717	779	798
ENSMUSG00000001440	32350	4873	31107	28485	34082	27730	23369	22714
ENSMUSG00000001441	5393.74644341495	948.095130480868	5349.1220958731	4627.30338765836	4777.91233305216	4512.41792952586	5940.94592585265	5032.16766045424
ENSMUSG00000001444	31	4	35	27	43	27	34	41
ENSMUSG00000001445	2315.63223864135	355.90197381514	2267.88204135504	1991.41051849404	2745.28616620227	2193.97562499563	2081.67996153113	2035.6404717606
ENSMUSG00000001467	4758.11357241417	786.057817629475	4161.55385378829	4211.10743984806	3757.89688244023	2443.92795154356	3391.88246722606	3618.81778810743
ENSMUSG00000001472	4499.5091860266	656.487869671215	4024.91091075887	3938.19099148957	3480.18861312046	5157.09005588934	4175.43420451983	4217.60008234898
ENSMUSG00000001473	1299.16706732295	197.116213841591	999.203580958225	1164.1259558335	1225.34775129824	1179.23426518429	1248	1556.3712798678
ENSMUSG00000001482	2840.81684342755	398.377167815739	2717.1400241953	2525.62791146593	3190.78285866211	3236.60500370624	2981.54167224598	2992.71960493679
ENSMUSG00000001493	2	0	3	1	2	0	2	1
ENSMUSG00000001494	4	0	1	0	4	0	3	1
ENSMUSG00000001496	0	0	0	0	0	0	2.45445816591563	0
ENSMUSG00000001497	5.09226302606468	1	6.56544644898607	7.51911009380161	1.26510462483906	3.70843882012523	19.084730517663	5.20008966727832
ENSMUSG00000001504	212	36	186	200	303	195	145	177
ENSMUSG00000001506	63	4	57	64	63	50	74	99
