"ESC_slow1","ESC_slow2","ESC_slow3","ESC_slow4","ESC_fast1","ESC_fast2","ESC_fast3","ESC_fast4"
"ENSMUSG00000073737",22.3126094560544,15.9469353789397,16.1491137448376,11.3844334710726,11.0086737000431,22.2332513223267,9.07705019557214,13.5881362878356
"ENSMUSG00000067813",0,1,1,2,0,0,0,0
"ENSMUSG00000016918",2155,1464,1685,2013,2441,1757,1976,1901
"ENSMUSG00000067851",2175.36827048586,2346.29621448773,1815,2199.73264531743,2433.27662500105,2856.86342838314,1786.33365200153,1635.57283943353
"ENSMUSG00000025912",1161,1152,606,729.3473867521,1268,1122,713,604
"ENSMUSG00000067879",0,0,0,0,0,0,0,0
"ENSMUSG00000099032",68,82.5217124942157,47.1257597575473,53.67948041545,97.2481541434249,87,70,45
"ENSMUSG00000025915",452.045707629552,697.508016376589,328.258524799623,387.703294769334,564.735237753735,841.064303957737,456.643154253888,451.211802796533
"ENSMUSG00000090031",16.4027251863713,31.5860710209871,1.09101076427343,15.1695285366248,36.4112390369728,39.3206305869377,14.1815173103698,23.5877494942812
"ENSMUSG00000076135",0,0,0,0,0,0,0,0
"ENSMUSG00000093970",0,0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0
"ENSMUSG00000077318",0,2,0,0,0,0,0,0
"ENSMUSG00000077368",0,0,0,0,0,0,0,0
"ENSMUSG00000077377",0,0,0,0,0,0,0,0
"ENSMUSG00000079658",2120,2476.34906798924,1563.95026307779,1960.84449123208,2458.84707025657,3040.11304657639,2003.25236535859,1959.23779821927
"ENSMUSG00000067795",1,2.70816941047391,1.03860093058406,1.25353314366114,2.20489004807263,7.34635309350779,1.19629148153675,3.0173443060861
"ENSMUSG00000025938",295,225,211,302,239,202,160,176
"ENSMUSG00000079671",7.10652614690853,14.062597826313,2,3,9.1627703372519,4,2,10.0497953388005
"ENSMUSG00000025909",1,3,1,1,0,3,1,0
"ENSMUSG00000025939",788.417374623947,727.78744179138,465.982190008513,519.110432875126,699.786022491957,725.189686053867,456.638009372859,433.687931063497
"ENSMUSG00000083422",2.01277260614552,10.0421250540579,2.01652798689748,6.04205854844645,3.01442342666987,5.02596039398232,5.03405411245362,6.03997230804128
"ENSMUSG00000081417",0,2,0,0,1,2,0,0
"ENSMUSG00000084353",0,0,172.485971990117,122.292682026829,0,0,53.1111718267609,147.18166105155
"ENSMUSG00000082193",14.2583514959211,6.92581610230275,7.3650036740388,8.26131586302524,7.9619347833227,6.27453205887611,1.67387079325851,7.14219988439979
"ENSMUSG00000081201",0,2.60074808729025,0,0,0,0,0,0
"ENSMUSG00000081441",13.2329786315237,19.5976752281174,34.5035102628836,24.2653573578949,18.0918701126375,37.2116510378228,27.3931345202778,4.34427335637074
"ENSMUSG00000087247",0,0,0,0,0,3,0,0
"ENSMUSG00000087199",0,0,0,0,0,0,0,0
"ENSMUSG00000086235",0,0,0,0,0,0,0,0
"ENSMUSG00000085623",10.5629025540218,14.6095589096601,11.3964377773778,7.97811762378116,9.27341727094668,21.5597270861494,8.33679281674059,9.57727837117315
"ENSMUSG00000086195",1,0,0,0,0,1.63322753873926e-08,0,0
"ENSMUSG00000104217",9.92322508451979,6.33848941147694,14.6885121560057,18.9780291579989,8.18495234175129,3.39331706912533,28.8644351759262,22.9883614525637
"ENSMUSG00000087782",0,0,0,0,0,0,0,0
"ENSMUSG00000088000",0,0,0,0,0,0,0,0
"ENSMUSG00000088153",1,0,0,0,1,4,0,0
"ENSMUSG00000088159",0,0,0,0,0,0,0,0
"ENSMUSG00000088333",0,0,0,0,0,0,0,0
"ENSMUSG00000088585",0,0,0,0,0,0,0,0
"ENSMUSG00000088829",0,0,0,0,0,0,0,0
"ENSMUSG00000088916",0,0,0,0,0,0,0,0
"ENSMUSG00000088943",0,0,0,0,0,0,0,0
"ENSMUSG00000089358",0,0,0,0,0,0,0,0
"ENSMUSG00000089982",0,0,0,0,0,0,0,0
"ENSMUSG00000089699",0,0,0,0,0,0,0,0
"ENSMUSG00000091305",0,0,0,0,0,0,0,0
"ENSMUSG00000091665",0,0,0,0,0,0,0,0
"ENSMUSG00000092083",5.07504588497417,8.10251073819546,1.10247459469669,1.03765304014366,9.13793793561624,9.16344842215189,2.11812334945851,1.05017213965021
"ENSMUSG00000093015",0.153334307509465,0.336346660748901,0.0854986397906226,0.135217837310205,0,0.178265756922877,0.123387551138058,0
"ENSMUSG00000093178",55,61,18,24,47,61,21,33
"ENSMUSG00000095780",0,0,0,0,0,0,0,0
"ENSMUSG00000095853",0,0,0,0,0,2.77712986098475,0.000330503294026768,0
"ENSMUSG00000093864",0,0,0,0,0,0,0,0
"ENSMUSG00000094979",0,0,0,0,0,0,0,0
"ENSMUSG00000096126",0,1.0481504851433,0,0,0,0,0,0
"ENSMUSG00000097711",6.86702556212301,13.933405015745,5.70954896468481,7.76130212526426,8.60921390082363,11.3642919783888,4.26008437579181,5.65031424905284
"ENSMUSG00000097171",7.96352353352505,6.85478894861409,6.31765483766535,5.03806992616128,24.9382788529201,16.7437053050731,10.1377316012542,1.87204632300616
"ENSMUSG00000097893",31.9875153238328,39.6742626697603,37.2667890512803,48.8166159321527,49.8264764099806,39.3871022953432,33.1628672739713,33.0431799978313
"ENSMUSG00000097744",11.2199582910162,8.01783589948754,3.04944445827292,10.3018389112974,11.787153999572,7.57653135661566,4.81398828079975,7.99454922452645
"ENSMUSG00000097628",3.07224939286781,3.07750135982519,1.12796627438694,2.17084349356543,7.20722636418899,10.6835227181161,1.02670840763218,4.04657919120561
"ENSMUSG00000097797",40.8165742559694,63.2943343585489,26.8782330289635,31.2093191787039,55.4363297584062,71.9299208786668,31.6740323808935,36.8587268419777
"ENSMUSG00000098234",1204,1194,944,1079,1007,1198,1056,1002
"ENSMUSG00000098201",0,1.47099696912037,1.0043625030387,4.0134201010301,4.01982442051349,3.01389724535839,3.0170364986069,4.0233380087925
"ENSMUSG00000098163",0,0,0,0,0,0,0,0
"ENSMUSG00000098104",46.8863602150151,45.9695019709821,56.7615763034938,42.2916773070472,42.4095155424499,68.5211289853048,51.2763133872531,47.6206761280504
"ENSMUSG00000098555",0,0,0,0,0,0,0,0
"ENSMUSG00000099183",0,0,0,0,0,0,0,0
"ENSMUSG00000100652",3.00065734372001,5.32413622024767,0,0,1.02029474395372,5.12346897844058,0,0
"ENSMUSG00000101476",0,0,0,1,0,0,0,0
"ENSMUSG00000100868",0,0,0,0,0,0,0,0
"ENSMUSG00000100959",0,0,0,0,0,0,0,0
"ENSMUSG00000101314",0,0,0,0,0,0,0,0
"ENSMUSG00000101171",1.01452371328993,3.02587489677078,0,0,0,0,1.00694116001602,0
"ENSMUSG00000099498",9,11,4,8,5,6,3,8
"ENSMUSG00000101827",0,0,0,0,0,0,0,0
"ENSMUSG00000101610",1.00594647877582,0,1.00383783578081,1.00328796316377,0,2.01145932249238,2.00509196247558,0
"ENSMUSG00000100648",4.02340480447652,4.07178866823259,2.00843378282878,2.0097500636617,4.28392545589734,1.00621628993454,0,1.00383171276363
"ENSMUSG00000100814",0,0,0.958396165246685,0,0,0,0,0
"ENSMUSG00000101652",2.03243377653065,1.01546858543295,0,0,0,1.01177021792864,1.00110894773058,0
"ENSMUSG00000099845",0,0,0,0,0,0,0,0
"ENSMUSG00000100212",0,0,0,0,1.43915282677157,0,0,0
"ENSMUSG00000099827",0,0,0,0,0,0,0,0
"ENSMUSG00000025779",5,17,9,6,16.4802005946955,13.0015099096616,6,10
"ENSMUSG00000103282",0,0,0,0,0,0,0,0
"ENSMUSG00000104518",0,0,1,2,1,3,6,1
"ENSMUSG00000103933",0,0,1.00639846400289,1.00623135637057,2.05799426461107,3.09263427379474,0,0
"ENSMUSG00000102213",0,0,0,0,0,0,0,0
"ENSMUSG00000103090",0,0,0,0,0,0,0,0
"ENSMUSG00000104428",0,0,0,0,0,0,0,0
"ENSMUSG00000102556",1.0010537213095,4,0,0,8.01032316338841,6.35726380390873,2.00248945221097,2.01207345645906
"ENSMUSG00000104504",1,0,0,0,3,1.99999998366772,0,0
"ENSMUSG00000103147",0,0,0,0,0,0,0,0
"ENSMUSG00000104025",0,1.47828750578435,3.87424024245268,1.32051958455002,1.21792631135525,0,0,0
"ENSMUSG00000104017",0,0,0,0,0,0,0,0
"ENSMUSG00000102647",6.12209626085905,7.74213451273202,4.66846924534687,2.769744422322,10.7260788120793,18.8097094880876,2.50147195078331,3.37255215715268
"ENSMUSG00000102343",6094.21380892647,7331.46368147883,5431.30029758671,4935.04669704903,5683.67552686513,7713.79801463321,5735.01805945014,4305.03912798281
"ENSMUSG00000104165",2,5,0,0,1,2,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,0
"ENSMUSG00000102331",4.00622820996881,1.00526907690134,6.00451616185635,1.00153462122153,4.00407914559301,10.6320396327735,0,2.00267375495463
"ENSMUSG00000103448",0,0,0,0,0,0,0,0
"ENSMUSG00000102735",1.00086814058129,0,0,0,0,0,0,0
"ENSMUSG00000103411",1,0,0,2,1,0,0,0
"ENSMUSG00000102851",0,0,0,0,0,0,0,0
"ENSMUSG00000102706",1.45115988005912,1,0,3.01153980981289,0,0,0,0
"ENSMUSG00000103201",0,0,0,0,0,0,0,0
"ENSMUSG00000104209",7.30476216466424,2.47305533015526,4.42370817694853,0,2.89899119014664,1.47496558381252,0,0
"ENSMUSG00000104046",518.375352939144,616.536638905697,338.542369152087,341.420514705201,467.50523738864,582.620339161709,313.739663771383,314.540470484413
"ENSMUSG00000102348",0,0,0,0,0,2,0,0
"ENSMUSG00000103884",0,0,0,0,0,0,0,0
"ENSMUSG00000104352",0,0,0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0,0,0
"ENSMUSG00000102175",0,0,1.00518869050991,0,0,0,0,0
"ENSMUSG00000104238",0,0,0,0,0,1.00145219561896,0,0
"ENSMUSG00000103355",1.14227359993982,0,2.28881073382505,3.74484833463135,3.41663764058514,1.1522127636756,0,1.05630602585785
"ENSMUSG00000102588",0,2.50504562989882,1,2.98280259589624,3.00780195212472,1,1,1.88297795978264
"ENSMUSG00000103494",12.001715812639,11.0010955973325,1.00026914591937,0,12.0020678122379,27.6494740556753,0,1.00015355401375
"ENSMUSG00000102316",0,0,0,0,0,0,0,0
"ENSMUSG00000103922",237.614884959999,239.44099515375,275.279621951289,313.86883851471,266.415928213664,315.85944249296,287.899102955063,306.051686299544
"ENSMUSG00000103936",0,1,0,0,0,0,0,0
"ENSMUSG00000103519",1.29194348185342,3.62934791561692,0,2.68031445635153,2.15752377271581,3.71217901901389,4.89115754730737,1.20632296047136
"ENSMUSG00000102693",0,1.37564154315872,0,1,0,1.41910064186102,0,0
"ENSMUSG00000102937",0,0,0,0,0,0,0,0
"ENSMUSG00000103003",0,0,0,0,0,0,0,0
"ENSMUSG00000103498",0,0,0,0,0,0,0,0
"ENSMUSG00000103280",0,0,1,0,2,2,1,1
"ENSMUSG00000103025",0,0,0,0,0,0,0,0
"ENSMUSG00000102653",0,0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0,0,0
"ENSMUSG00000103845",16.2938956671003,23.6016896534521,12.7147461061547,11.6003294103047,17.022360230932,8.60294175243274,8.45617001062588,17.1030670365714
"ENSMUSG00000103903",0,0,0,1.01714934680252,0,0,1.00051424173464,0
"ENSMUSG00000104170",13.0440655346071,16.6909119892331,10.0021382228231,6.29153073299693,17.8175143945797,10.6124384648953,4.11491724792246,7.4503784191162
"ENSMUSG00000104123",1,2,0,0,1,0,0,0
"ENSMUSG00000104385",0,0,0,1.1287521722091,0,0,0,0
"ENSMUSG00000102592",8,4,2,0,8,10,0,0
"ENSMUSG00000102356",0,0,0,0,0,0,0,0
"ENSMUSG00000102639",0,2,0,0,0,0,0,0
"ENSMUSG00000103825",2.2021616010344,14.6989329137633,3.43830618670783,4.50776901113313,6.64527656270898,11.2965084909229,7.5613075181612,8.89610822818283
"ENSMUSG00000102982",33.7906104642587,43.1998164178247,35.5414064120571,33.1110103350582,46.4378951778419,54.2802233394098,34.8555094048943,28.6395052204226
"ENSMUSG00000104149",22.0409861005327,52.6545251254081,13.4083020130185,19.1568195599683,29.0584185502934,50.1982777570823,16.2839148017805,15.2633140852745
"ENSMUSG00000102253",3,3,0,0,6.1969647142316,1,1,0
"ENSMUSG00000102135",2.31179875243177,2.29005871263124,8.95051205377923,4.48775982075684,10.3525287897365,13.6789747566083,4.44995670382584,4.22439885132365
"ENSMUSG00000102166",0,0,0,0,0,0,0,0
"ENSMUSG00000103810",6.60480056062901,10.5288254617334,3.93944084712943,4.30965322564538,16.4679438949638,17.9717310628178,6.18816145361079,5.02291323693267
"ENSMUSG00000102907",2.27680893864829,4,0,0,3,6.23118070465532,1,0
"ENSMUSG00000103509",64.2569322884817,88.5568833995051,99.6348135488955,103.148821321651,83.907621830524,97.8952342985641,75.8466969253432,75.1704823247606
"ENSMUSG00000103492",2.06665394790998,6.15631484960236,1.00498673737043,0,1.14089482430579,2.22525449120432,1.01021271145779,1.02171355230475
"ENSMUSG00000104379",3.18998779697798,4.85481130449101,9,3.3899903063334,16,12.9198278937169,5.74501124152826,8.18543939824599
"ENSMUSG00000103557",0,0,0,0,0,0,0,0
"ENSMUSG00000103067",340.961016644738,349.483893082325,31.1720261762861,42.5268097899089,402.930690642808,336.23730607121,37.1963766487037,27.3741256479974
"ENSMUSG00000102320",0,0,0,0,0,0,0,0
"ENSMUSG00000103161",45.2037076377619,74.9795967503828,39.411419763414,50.7589972610393,37.1172844031988,86.8965149337718,29.0324209432449,33.9077769914104
"ENSMUSG00000102871",0,0,0,0,0,0,1,0
"ENSMUSG00000102272",0,0,0,0,0,0,0,0
"ENSMUSG00000103709",0,0,0,0,0,0,0,0
"ENSMUSG00000103819",0,0,0,0,0,0,0,0
"ENSMUSG00000103377",0,0,0,0,0,0,0,0
"ENSMUSG00000103561",1.41941526471525,6.29153328290303,3.00087622679627,7.78555301000296,3.15860839236841,13.6761634165097,8.09626810850387,4.0383703747097
"ENSMUSG00000102269",3.05563350956876,4.10370322180793,2.03681611837522,4.06920212156924,2.04219037332877,2.02965736443228,0,0
"ENSMUSG00000102948",0,0,0,0,0,2,0,0
"ENSMUSG00000102275",97.4337279195675,118.547729886844,39.3960881932574,35.5127299460176,82.9784033340489,110.679260640807,36.7965701146223,61.2250206652221
"ENSMUSG00000103506",23.2939283109742,31.4638197543693,18.1063827065163,18.0832801587749,32.7277643568067,26.4938236894694,19.6596044480656,21.6160690964149
"ENSMUSG00000103085",14.9330737635107,21.580605835522,14.3231590753174,19.7892298946261,16.5806086952961,26.2982385798243,16.7803652124711,21.9592995495711
"ENSMUSG00000103629",0,0,0,0,0,0,0,0
"ENSMUSG00000103265",0,0,0,0,0,0,0,0
"ENSMUSG00000102457",1,2.00181595007284,3,0,0,1,0,2
"ENSMUSG00000102664",23.9286438750761,17.1000653629954,10.8441272205092,15.8645632072467,21.9482572169469,23.9898544899886,19.6407247032018,7.29951137330671
"ENSMUSG00000104328",4,6,1,8,1,6,3,3
"ENSMUSG00000103329",0,0,0,0,0,0,0,0
"ENSMUSG00000103495",0,1,3,0,1,0,0,0
"ENSMUSG00000042197",1927.27199361686,1971.30565592211,1767.31684125194,2122.02200708838,2146.2895640262,2143.00191649701,1892.53545548068,1952.35532223281
"ENSMUSG00000025774",0,0,0,0,0,0,0,0
"ENSMUSG00000025777",11,10.0057174748967,12.0746145247452,7.01520059570438,4.01390983813166,13.015542969135,17.1180495722953,6.01144084101807
"ENSMUSG00000025927",6.02368821827262,1.58863169333964,0,1.11981071638154,8.51434210556975,2.08273382202335,1.02282777836772,1.14900749164022
"ENSMUSG00000025929",0,0,0,0,0,0,0,0
"ENSMUSG00000025933",108,116,107,86,133,147,64,63
"ENSMUSG00000025934",306.979813209115,374.8562466762,317.562647313678,405.940932237167,317.307602788572,453.541380142574,277.590228441924,283.622378876716
"ENSMUSG00000026058",20.3698893524449,15.0619400056801,16.6826917356293,16.275099427559,11.1816579677408,21.5727785484001,9.75784718303565,17.3665723661925
"ENSMUSG00000026063",0,0,0,0,0,0,0,0
"ENSMUSG00000117310",5866.12978550162,5696.95253221314,3101.64136284125,3735.03575325968,7067.00102316005,7096.08481768151,3812.89533073341,3766.7924087334
"ENSMUSG00000026123",197.408147122644,222.62814788176,231.142714198097,222.975146784289,225.554898331248,260.675375456555,219.203024348187,204.139804551248
"ENSMUSG00000026124",3,10,8,6,3,5,3,3
"ENSMUSG00000026125",0,1,0,1,1,0,0,0
"ENSMUSG00000026126",40.5155609491079,32.8347320234486,14.9633667682538,20.9558032308163,26.5829458581554,18.7827384982015,27.4765384302825,11.6331774305375
"ENSMUSG00000026127",2671.73962510652,2894.92692536269,2904.41101924246,3354.69417399734,3081.52411388149,3798.14683147386,3184.93525631598,3231.03874756855
"ENSMUSG00000026134",1601.46694710815,1375.31377890952,1450.6359454172,1542.62071773488,1500.92611413164,1553.05755910847,1386.41331401021,1455.69773804096
"ENSMUSG00000026153",1011,1016.03954854196,802,962.376850065179,1074.36131208176,1129,798.099927022243,725.014545950722
"ENSMUSG00000026154",176,178,222,215,181,223,196,175
"ENSMUSG00000026155",1099.85702558437,1084.0907806131,855.998962843117,947.56245604781,1021.75268950706,1305.82322307233,835.603782794847,780.971931906213
"ENSMUSG00000026158",168.70709030204,195.773510260374,171.187723798709,126.124188913886,223.84572642722,220.396608622282,146.410493300968,133.254585510009
"ENSMUSG00000028033",13,12.1377705504266,19,18.0002414059072,11.1373464729685,13.2134432419976,10,9
"ENSMUSG00000042596",0,0,0,1,0,0,0,0
"ENSMUSG00000041779",402,378,497,542,411,444,539,431
"ENSMUSG00000042686",14.7587738415179,21.0268360432967,13.0020681204298,14.7226132544619,14.6441451533682,18,31.5920344332921,17
"ENSMUSG00000041809",8,14,15,7,11,9,24,16
"ENSMUSG00000041872",18.4947228810954,25.8328736140285,3.59748132645703,9.05242457800552,24.968267586068,41.1952364914382,2.16612759750249,3.4877799118593
"ENSMUSG00000033569",29.5038736382836,38.7616334800165,3.69525149579066,11.6104724780959,22.1155438864869,27.3109610591722,17.4928348985346,16.7692624813288
"ENSMUSG00000042111",908.331969879118,883.708930914608,831,1027,922.921171762074,1135.81337525941,823,915.372306411476
"ENSMUSG00000042215",89.0068796453105,134.022148484487,108.015511983899,86.0057013908257,88.0229888043056,123.027469609761,84,96
"ENSMUSG00000037503",2518,2695.36661796319,2702,3310.20538971963,2911,3629.72738852781,2966,2947.93948256611
"ENSMUSG00000037509",186.080564741417,141.265050810453,189.889539862748,167.252369767174,187.018902548451,125.534533275066,155.826355714675,140.821148222273
"ENSMUSG00000037529",1,0,0,0,0,0,0,0
"ENSMUSG00000026141",0,0,0,1,0,2,3,0
"ENSMUSG00000045174",0,0,2,0,0,0,0,0
"ENSMUSG00000041859",10640,11790,13103,14703,12968,16705,13716,14361
"ENSMUSG00000026147",0,4,1,1,0,4,0,0
"ENSMUSG00000048411",0,0,0,0,0,0,0,0
"ENSMUSG00000042182",27.59356043641,27.995333345407,17.9518444659562,13.237527040666,21.6385622643808,33.7881545962841,20.2675279354298,25.1007915170102
"ENSMUSG00000045815",0,0,0,0,0,0,0,0
"ENSMUSG00000050217",0,0,0,0,0,2.06849946678052,0,0
"ENSMUSG00000026156",37.142974415627,43.9092193868963,22.0010371568827,12.4375439521907,28.2473104929445,45.1767769276685,26.3962172051523,16.0280680937866
"ENSMUSG00000053185",0,0,0,0,0,0,0,1
"ENSMUSG00000025931",109,71,82,101,71,46,59,89
"ENSMUSG00000041722",1,1,0,1,0,2.30033418143892,0,1
"ENSMUSG00000091020",56.9248387659869,51.0369214477951,64.5853069706055,68.8464925659248,65.6243665100485,61.0341887837268,72.8835535308407,93.3199563500305
"ENSMUSG00000073730",0,0,0,0,0,0,0,0
"ENSMUSG00000058590",0,0,0,0,0,0,0,0
"ENSMUSG00000041670",126.485982206019,267.531778070158,146.126011427751,140.275001866582,112.299312540078,185.583975248845,83.6549610144248,62.0685224971471
"ENSMUSG00000025936",0,0,0,1.07024214970489,0,0,0,0
"ENSMUSG00000064433",0,0,0,0,0,0,0,0
"ENSMUSG00000064601",0,0,0,0,0,0,0,0
"ENSMUSG00000064688",0,0,0,0,0,0,0,0
"ENSMUSG00000065223",0,0,0,0,0,0,0,0
"ENSMUSG00000065260",0,0,0,0,1,0,0,0
"ENSMUSG00000065405",0,0,0,0,0,0,0,0
"ENSMUSG00000065480",0,0,0,0,0,0,0,0
"ENSMUSG00000065559",0,0,0,0,0,0,0,0
"ENSMUSG00000065567",0,0,0,0,0,0,0,0
"ENSMUSG00000004768",1817,1623,1176,1360,1811,1756,1281,1309
"ENSMUSG00000048874",4351.17948879193,4506.3612335288,4477.37703772593,5588.98983750866,4953.06785028272,5665.17544704044,4599.36354764746,4775.88928298087
"ENSMUSG00000067736",0,0,0,0,0,0,0,0
"ENSMUSG00000067750",0,1,0,0,0,6.69966581856108,0,0
"ENSMUSG00000043760",27,15,7,20,9,15,7,1
"ENSMUSG00000067773",0,0,0,0,0,0,0,0
"ENSMUSG00000067780",27.4221667537852,25.0080633280261,32.5573279922625,18.6908905520237,33.4925840279934,52.2684406445739,23.08394593876,16.4205415544118
"ENSMUSG00000070175",0,0,0,0,0,0,0,0
"ENSMUSG00000070960",548.358996326213,451.987803558372,639.642894941513,593.256704865238,502.198939563894,493.035515099693,584.15298425428,524.994638455735
"ENSMUSG00000073725",485.883005813803,422.183159327739,414.101332980497,463.115779726595,487.656441330317,482.510383232551,329.624493463271,312.975973664731
"ENSMUSG00000025776",34.3242175343797,28.688512638125,46.9352069868371,44.7507091120086,28.3840655356443,11.0208109360392,40.0504466141327,23.9702694683366
"ENSMUSG00000026131",8976.16674751845,9071.78140540719,13073.469269529,13852.4061643937,7255.9090576095,6500.19408428955,9432.03778932279,8926.00212012138
"ENSMUSG00000073722",0,0,0,0,0,1,0,0
"ENSMUSG00000073735",0,0,0,0,0,0,0,0
"ENSMUSG00000077231",0,0,0,0,0,0,0,0
"ENSMUSG00000077314",0,0,0,0,0,0,0,0
"ENSMUSG00000077463",0,0,0,0,0,0,0,0
"ENSMUSG00000077664",0,0,0,0,0,0,0,0
"ENSMUSG00000080391",0,0,0,0,0,2.45113386396854,0,0
"ENSMUSG00000080625",0,0,0,0,0,0,0,0
